[     235ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:21548
[  240359ms] [ERROR] Failed to load resource: the server responded with a status of 400 (Bad Request) @ http://localhost:8000/api/solve:0
[ 9271431ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5173/@vite/client:559
[85097580ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097596ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097630ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097675ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097696ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097713ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097730ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097753ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097763ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097780ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097795ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097812ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097830ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097847ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097862ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097879ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097897ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097913ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097930ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097946ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097963ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097980ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85097996ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098013ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098030ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098046ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098063ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098080ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098097ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098113ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098130ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098147ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
[85098163ms] [ERROR] Unable to preventDefault inside passive event listener invocation. @ http://localhost:5173/node_modules/.vite/deps/chunk-XPR23Y44.js?v=2f808839:5757
